User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
218,David Murphy,rayveronica@example.org,rayveronica,12-Feb-55,Female,South Sarah,9-Jan-24,8-Jan-25,Monthly,Amex,Manual,Frequent,Electronics,Romance,Smartphone,Low,3.1,0
223,Heather Allen,benjamin60@example.net,benjamin60,14-Jun-87,Male,Nelsonton,10-Apr-24,10-Apr-25,Annual,Mastercard,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Low,4.2,4
265,Christopher Haynes,williamsrobin@example.com,williamsrobin,16-Nov-64,Female,Ricefort,12-Mar-24,12-Mar-25,Annual,Amex,Auto-renew,Frequent,Electronics,Documentary,Smartphone,Medium,3.9,6
270,Natalie Vasquez,wescobar@example.org,wescobar,14-Dec-42,Male,Shortport,14-Mar-24,14-Mar-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.1,5
275,Tracy Hartman,davidcoleman@example.net,davidcoleman,18-Oct-93,Female,Meganfort,20-Mar-24,20-Mar-25,Monthly,Amex,Manual,Frequent,Electronics,Romance,Smartphone,Low,4.6,9
309,Veronica Cox,rmartin@example.net,rmartin,3-Sep-71,Male,Lake Dylan,11-Mar-24,11-Mar-25,Annual,Amex,Manual,Frequent,Electronics,Horror,Smartphone,Low,3.8,8
334,Nicole Robinson,huberisaac@example.com,huberisaac,18-Apr-68,Male,Port Heather,5-Feb-24,4-Feb-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,5,9
356,Kathleen Mclaughlin,james28@example.com,james28,19-Jun-84,Female,New Jennifer,16-Mar-24,16-Mar-25,Monthly,Amex,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Low,3.8,7
378,Anne Smith,smithlee@example.net,smithlee,5-Oct-61,Female,Lake Autumnside,31-Jan-24,30-Jan-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,3.5,8
380,Samantha Lucas,gregorybrittney@example.net,gregorybrittney,25-Mar-51,Female,North Kelly,19-Mar-24,19-Mar-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,4.8,4
388,Richard Soto,simmonssandra@example.com,simmonssandra,25-Sep-02,Female,Tylerberg,16-Jan-24,15-Jan-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.2,1
402,Olivia Harper,twilliams@example.com,twilliams,22-Jun-04,Female,Port Charles,27-Feb-24,26-Feb-25,Annual,Amex,Auto-renew,Frequent,Electronics,Documentary,Smartphone,High,4,6
413,Matthew Johnson,carmen60@example.org,carmen60,23-Apr-71,Male,South Nicoleport,21-Mar-24,21-Mar-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Smartphone,High,4.7,1
416,Katie Morris,duncanfelicia@example.net,duncanfelicia,25-Dec-81,Male,Deleontown,29-Feb-24,28-Feb-25,Monthly,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.5,1
428,Anthony Ramirez,wardkelly@example.net,wardkelly,5-Jul-01,Male,Jonesborough,30-Jan-24,29-Jan-25,Annual,Amex,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,4.6,6
430,David Osborne,lambertkimberly@example.com,lambertkimberly,22-Sep-98,Male,Johntown,5-Apr-24,5-Apr-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.1,4
448,Jennifer French,kwilson@example.net,kwilson,20-Jan-44,Female,East Sheryl,4-Feb-24,3-Feb-25,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,7
450,Michael Collins,bryantjennifer@example.org,bryantjennifer,18-Nov-35,Female,Thompsonton,28-Feb-24,27-Feb-25,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Low,4.1,4
454,James Perez,mhardy@example.org,mhardy,30-Jan-89,Female,Riceton,27-Jan-24,26-Jan-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,High,4.2,5
455,Vincent Alvarado,morgansoto@example.org,morgansoto,20-Feb-40,Female,Cassandramouth,7-Jan-24,6-Jan-25,Annual,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,3.3,6
461,John Smith,woodsdavid@example.org,woodsdavid,7-Apr-69,Male,Lake Amber,23-Feb-24,22-Feb-25,Annual,Visa,Manual,Frequent,Electronics,Romance,Smartphone,Low,4.3,0
498,Richard Anderson,jeremy97@example.org,jeremy97,29-Sep-65,Female,Dawnborough,30-Mar-24,30-Mar-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,5,6
501,Joshua Andrade,wardsteven@example.net,wardsteven,4-May-33,Male,Castroville,10-Mar-24,10-Mar-25,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Low,5,10
505,Sharon Casey,fmarsh@example.com,fmarsh,5-Sep-88,Male,Lake Daniel,8-Jan-24,7-Jan-25,Annual,Visa,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,4.3,5
510,Sarah Baker,amber84@example.net,amber84,17-Jan-84,Female,East Lukeburgh,13-Mar-24,13-Mar-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,High,3.7,10
589,George Elliott,rebecca56@example.com,rebecca56,30-Aug-39,Female,North Jameschester,17-Feb-24,16-Feb-25,Annual,Amex,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Low,4.8,5
591,Stephanie Palmer,daniel56@example.org,daniel56,12-Dec-66,Female,Williamport,6-Mar-24,6-Mar-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,Low,4.3,5
616,Richard Ferguson,elizabeth89@example.com,elizabeth89,15-Jan-76,Female,Michaelport,28-Feb-24,27-Feb-25,Monthly,Mastercard,Manual,Frequent,Electronics,Romance,Smartphone,Low,3.5,5
662,Tracey Scott,tateamanda@example.org,tateamanda,31-May-38,Female,Elizabethhaven,9-Mar-24,9-Mar-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.4,10
671,Larry Gay,walkerjessica@example.com,walkerjessica,14-Nov-02,Female,New Jeffery,8-Feb-24,7-Feb-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.6,2
708,Kendra Mitchell,brenda80@example.com,brenda80,2-Sep-34,Female,Port Michaeltown,6-Feb-24,5-Feb-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.9,8
724,Latoya Barrett,natashavargas@example.org,natashavargas,26-Jan-79,Male,Haynesborough,24-Feb-24,23-Feb-25,Annual,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,4,4
735,Jacob Hudson,lewischristine@example.org,lewischristine,17-Jun-71,Female,Wendymouth,22-Feb-24,21-Feb-25,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Low,3.4,9
739,Amanda Herrera,lynnrichardson@example.org,lynnrichardson,18-Feb-35,Male,East Francisco,12-Apr-24,12-Apr-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Action,Smartphone,Low,4.7,3
812,Hailey Blevins,rioscynthia@example.net,rioscynthia,26-Sep-47,Male,South James,14-Mar-24,14-Mar-25,Monthly,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Low,3.9,6
843,Nathan Bishop,gary53@example.org,gary53,14-Mar-87,Female,Brooksstad,1-Apr-24,1-Apr-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,4.6,2
869,Cassidy Davis,flloyd@example.net,flloyd,22-Oct-97,Female,North Ericmouth,4-Jan-24,3-Jan-25,Monthly,Visa,Manual,Frequent,Electronics,Sci-Fi,Smartphone,High,3.4,7
871,Haley Andrade,craigkrueger@example.org,craigkrueger,14-Sep-99,Female,New Jo,14-Feb-24,13-Feb-25,Annual,Mastercard,Manual,Frequent,Electronics,Romance,Smartphone,High,3.9,3
890,Christina Gay,rhondanguyen@example.com,rhondanguyen,27-Oct-74,Male,Sarachester,19-Jan-24,18-Jan-25,Annual,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,3.3,7
893,Melissa Miller,smithjacob@example.com,smithjacob,19-Nov-33,Female,North David,16-Jan-24,15-Jan-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,Medium,4.1,5
973,Gregory Reyes,nicole84@example.com,nicole84,5-Nov-34,Female,Stevensfurt,8-Mar-24,8-Mar-25,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.8,1
1007,Beth Michael,natalie09@example.com,natalie09,29-Mar-97,Female,Amyhaven,13-Feb-24,12-Feb-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smartphone,High,3.9,0
1043,Leslie Phillips,glarsen@example.org,glarsen,28-Feb-35,Female,New Andrea,4-Mar-24,4-Mar-25,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Medium,3.9,4
1047,Tara Bowman,penny06@example.net,penny06,2-Mar-39,Male,East Brittany,4-Feb-24,3-Feb-25,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.2,6
1055,Loretta Bentley,dbailey@example.net,dbailey,24-Jun-69,Female,Mitchellland,2-Jan-24,1-Jan-25,Annual,Mastercard,Manual,Frequent,Electronics,Horror,Smartphone,Medium,3.9,2
1099,Katherine Keith,evanselizabeth@example.com,evanselizabeth,14-Feb-01,Female,East Stephanie,28-Mar-24,28-Mar-25,Annual,Amex,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,4.1,1
1121,Laura Ross,bfoster@example.net,bfoster,15-Aug-44,Female,Armstrongberg,13-Apr-24,13-Apr-25,Monthly,Amex,Manual,Frequent,Electronics,Drama,Smartphone,High,4.6,1
1171,Christopher Johnson,leonardharvey@example.org,leonardharvey,27-Sep-57,Female,Steinshire,29-Jan-24,28-Jan-25,Annual,Amex,Manual,Frequent,Electronics,Horror,Smartphone,Low,4.4,1
1205,Sean Fitzgerald,simmonselizabeth@example.net,simmonselizabeth,27-Sep-88,Male,Port Scott,21-Feb-24,20-Feb-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Medium,4.3,1
1227,Michael Evans,carolyn45@example.org,carolyn45,13-Feb-50,Male,East Laura,19-Jan-24,18-Jan-25,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,4.4,2
1269,Sean Allen,rodriguezhenry@example.org,rodriguezhenry,31-Jan-49,Female,Christinaland,3-Feb-24,2-Feb-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,Low,4.5,10
1308,Cory Moreno,paul69@example.com,paul69,16-May-95,Male,Lake Nancyland,19-Mar-24,19-Mar-25,Annual,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,Medium,3.9,10
1331,Vanessa Fletcher,aaronwelch@example.org,aaronwelch,2-Jan-87,Female,East Robertshire,23-Feb-24,22-Feb-25,Annual,Amex,Manual,Frequent,Electronics,Romance,Smartphone,Low,3.5,7
1332,James Strickland,sonya57@example.org,sonya57,22-May-49,Female,Lake Williamville,5-Jan-24,4-Jan-25,Annual,Amex,Auto-renew,Frequent,Electronics,Drama,Smartphone,Low,3.8,5
1333,Corey Thomas,melissamason@example.org,melissamason,2-Dec-03,Male,East Darlenebury,22-Jan-24,21-Jan-25,Monthly,Mastercard,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Medium,4,8
1363,Bradley Mendoza,djohnson@example.net,djohnson,2-May-45,Male,Lake Melissamouth,26-Jan-24,25-Jan-25,Monthly,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Low,3.7,1
1400,Tiffany Phillips,jasonjohnson@example.com,jasonjohnson,10-Apr-39,Female,Lauratown,23-Feb-24,22-Feb-25,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smartphone,High,3.3,4
1411,Ashley Graham,alicia26@example.org,alicia26,18-May-64,Male,West Sylviahaven,20-Jan-24,19-Jan-25,Annual,Amex,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Medium,4.8,5
1413,Stephen Johnson,brian37@example.net,brian37,16-Aug-02,Male,Cowanmouth,12-Apr-24,12-Apr-25,Annual,Mastercard,Manual,Frequent,Electronics,Drama,Smartphone,Low,4,1
1419,Jane Whitehead,michelle35@example.com,michelle35,30-May-43,Male,Smithstad,17-Jan-24,16-Jan-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.2,0
1427,Christine Christian,edward67@example.net,edward67,22-Sep-44,Male,Ayersview,10-Jan-24,9-Jan-25,Annual,Mastercard,Manual,Frequent,Electronics,Sci-Fi,Smartphone,High,3.5,2
1442,Lisa Mack,aaron29@example.net,aaron29,17-Mar-53,Male,Christophertown,5-Mar-24,5-Mar-25,Monthly,Mastercard,Manual,Frequent,Electronics,Horror,Smartphone,Medium,3.1,8
1483,Sabrina Williams,njohnson@example.org,njohnson,8-May-77,Male,East Michelle,3-Apr-24,3-Apr-25,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,High,4.8,9
1491,Matthew Wong,ortegagrant@example.org,ortegagrant,20-Oct-61,Male,Jessicaburgh,7-Jan-24,6-Jan-25,Annual,Mastercard,Manual,Frequent,Electronics,Action,Smartphone,Medium,4.1,3
1545,Andrew Norris,angelarobertson@example.org,angelarobertson,13-Mar-67,Female,Logantown,1-Apr-24,1-Apr-25,Annual,Visa,Manual,Frequent,Electronics,Horror,Smartphone,Medium,4.5,8
1551,Richard Gregory,vjackson@example.org,vjackson,24-Nov-56,Male,Veronicamouth,18-Feb-24,17-Feb-25,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.5,9
1554,Jason Shaw,daniel28@example.org,daniel28,13-Sep-71,Male,Johnsonmouth,12-Feb-24,11-Feb-25,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,Low,3.6,3
1558,Robert Guerrero,marcnguyen@example.org,marcnguyen,27-Dec-64,Female,Port Angela,16-Mar-24,16-Mar-25,Monthly,Mastercard,Manual,Frequent,Electronics,Drama,Smartphone,High,3.8,7
1575,Michael Espinoza,zanderson@example.org,zanderson,15-Apr-85,Male,Snyderchester,24-Feb-24,23-Feb-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Medium,3.1,10
1626,Sara Hebert,gcrawford@example.com,gcrawford,13-Nov-96,Female,Murphybury,28-Feb-24,27-Feb-25,Annual,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,4.3,5
1660,Robin Wilson,hunterkyle@example.com,hunterkyle,2-Dec-49,Female,Lake Thomasview,15-Feb-24,14-Feb-25,Annual,Amex,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Low,3.4,5
1674,Linda Foster,ogarcia@example.com,ogarcia,17-Sep-78,Male,South Danaborough,7-Apr-24,7-Apr-25,Monthly,Amex,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,4.9,10
1682,Briana Johnson,djohnson@example.org,djohnson,22-Feb-57,Male,Natashaburgh,5-Jan-24,4-Jan-25,Annual,Amex,Auto-renew,Frequent,Electronics,Romance,Smartphone,Low,3.6,2
1733,Cassie Nicholson,iwebster@example.org,iwebster,27-Apr-78,Male,Port Williehaven,3-Feb-24,2-Feb-25,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Low,3.3,8
1741,Erin Nixon,blackwellbrian@example.net,blackwellbrian,21-May-00,Male,Parkstad,11-Jan-24,10-Jan-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,3.2,1
1780,Alyssa Winters,tamara76@example.org,tamara76,1-Jan-38,Male,East Jonathan,28-Mar-24,28-Mar-25,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,Low,3.6,3
1801,Cheryl Fox,brittany32@example.com,brittany32,9-Aug-63,Male,South Shelia,27-Mar-24,27-Mar-25,Monthly,Mastercard,Manual,Frequent,Electronics,Horror,Smartphone,Low,3.5,1
1803,Dylan Ryan,blankenshipdarren@example.net,blankenshipdarren,5-Apr-85,Male,East Terryview,9-Jan-24,8-Jan-25,Annual,Visa,Manual,Frequent,Electronics,Romance,Smartphone,Low,3.8,8
1807,Stephanie Wade,marymiller@example.com,marymiller,30-Oct-43,Male,South Tracyside,18-Feb-24,17-Feb-25,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.7,1
1834,Jenna Chapman,ucervantes@example.com,ucervantes,5-Jun-64,Male,Bellview,10-Apr-24,10-Apr-25,Annual,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,High,4.1,3
1856,Nathan Sullivan MD,ryan35@example.org,ryan35,3-May-87,Male,Philiphaven,31-Mar-24,31-Mar-25,Annual,Amex,Auto-renew,Frequent,Electronics,Documentary,Smartphone,Medium,4.7,0
1886,Adam Miller,tduffy@example.net,tduffy,28-Dec-73,Male,Lake Edwardmouth,13-Jan-24,12-Jan-25,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,4,6
1910,Barbara Kaiser,tinalawrence@example.net,tinalawrence,12-Mar-68,Male,Jordantown,3-Apr-24,3-Apr-25,Annual,Visa,Auto-renew,Frequent,Electronics,Documentary,Smartphone,Low,3.8,0
1936,Sean Greene,woodschelsea@example.com,woodschelsea,3-Jul-51,Male,South Staceyshire,31-Jan-24,30-Jan-25,Annual,Amex,Manual,Frequent,Electronics,Sci-Fi,Smartphone,Medium,3.1,8
1947,Steven Griffith,allencastillo@example.com,allencastillo,1-Apr-99,Male,Reynoldsfort,3-Feb-24,2-Feb-25,Annual,Visa,Manual,Frequent,Electronics,Horror,Smartphone,High,4.8,7
1967,Madison Cunningham,ntran@example.com,ntran,3-Feb-62,Female,Pottsview,6-Mar-24,6-Mar-25,Annual,Visa,Auto-renew,Frequent,Electronics,Horror,Smartphone,Medium,3.6,7
1981,Maria Townsend,jacqueline83@example.org,jacqueline83,19-Oct-89,Female,Johnhaven,20-Jan-24,19-Jan-25,Monthly,Amex,Manual,Frequent,Electronics,Drama,Smartphone,High,3.5,9
2008,Dawn Cunningham,smithdavid@example.net,smithdavid,28-Jul-83,Female,Port Matthew,8-Jan-24,7-Jan-25,Monthly,Mastercard,Manual,Frequent,Electronics,Romance,Smartphone,High,3.5,3
2010,Sandra Torres,ymorris@example.org,ymorris,28-Mar-64,Female,Port Jeremy,18-Mar-24,18-Mar-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,3.7,10
2087,Jeffrey Carroll,sharonprice@example.net,sharonprice,31-Jul-73,Male,Fischermouth,10-Mar-24,10-Mar-25,Annual,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,4.4,1
2102,Sergio Sanchez,callen@example.com,callen,20-Aug-04,Female,Sylviaport,19-Mar-24,19-Mar-25,Annual,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.3,0
2126,Stephen Price,amber88@example.net,amber88,4-Oct-83,Female,East John,16-Feb-24,15-Feb-25,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Low,3.3,1
2157,Jesus Robertson,bennettlauren@example.org,bennettlauren,9-Nov-66,Female,Lake Patriciamouth,3-Apr-24,3-Apr-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.3,4
2163,Heather Rivera,fodom@example.com,fodom,21-Jan-80,Female,Lake Jeffreychester,10-Apr-24,10-Apr-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.8,3
2175,Joe Buchanan,lindalevy@example.net,lindalevy,3-Dec-89,Male,East Rebecca,2-Apr-24,2-Apr-25,Monthly,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.1,0
2176,Richard Martinez,kellymiller@example.com,kellymiller,13-Oct-39,Female,North Joshuaburgh,27-Feb-24,26-Feb-25,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smartphone,High,4.4,8
2180,Vanessa Williams,kristinelewis@example.org,kristinelewis,25-Aug-76,Female,Port Johnview,9-Feb-24,8-Feb-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Smartphone,Low,4.4,5
2189,Tracey Mora,vthomas@example.com,vthomas,26-Dec-52,Female,Stevenport,12-Jan-24,11-Jan-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,4.4,0
2193,Daniel Maldonado,thomasoneill@example.com,thomasoneill,5-Apr-96,Female,Lake Deanmouth,2-Jan-24,1-Jan-25,Monthly,Amex,Manual,Frequent,Electronics,Action,Smartphone,Medium,4.7,9
2235,Rhonda Brown,stonejoseph@example.com,stonejoseph,23-Sep-96,Female,Lake Michaelmouth,10-Feb-24,9-Feb-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Action,Smartphone,High,4.2,4
2237,Angel Sanders,ericksonjohn@example.net,ericksonjohn,8-Nov-81,Male,Wendymouth,22-Mar-24,22-Mar-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.2,9
2265,Angelica Randall,gwade@example.org,gwade,22-Apr-35,Female,New Thomasmouth,22-Jan-24,21-Jan-25,Monthly,Visa,Manual,Frequent,Electronics,Romance,Smartphone,Medium,3.1,5
2268,Melissa Choi DVM,ginascott@example.net,ginascott,14-May-37,Female,Collinsport,31-Mar-24,31-Mar-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Drama,Smartphone,High,3.8,1
2362,Anthony Kennedy,dharrison@example.org,dharrison,17-Nov-89,Male,Charlenefurt,29-Jan-24,28-Jan-25,Monthly,Visa,Auto-renew,Frequent,Electronics,Drama,Smartphone,Medium,3.7,3
2366,Megan Vargas,adamshelen@example.org,adamshelen,7-Jan-54,Female,West Bob,3-Apr-24,3-Apr-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Action,Smartphone,Medium,3.6,8
2389,Joshua Price,sburke@example.com,sburke,28-Nov-34,Male,New Timothyport,17-Feb-24,16-Feb-25,Monthly,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Low,4.5,3
2404,Wayne Holder,lewiscaitlin@example.org,lewiscaitlin,4-Apr-39,Male,Holmesfurt,9-Apr-24,9-Apr-25,Annual,Amex,Manual,Frequent,Electronics,Horror,Smartphone,Low,4.5,1
2454,Lorraine Sanchez,wparks@example.org,wparks,22-Aug-39,Male,North Cathyton,23-Feb-24,22-Feb-25,Annual,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,4.1,1
2470,Susan Singleton,campbelljennifer@example.net,campbelljennifer,13-Oct-33,Male,Laurieburgh,19-Mar-24,19-Mar-25,Annual,Mastercard,Manual,Frequent,Electronics,Action,Smartphone,Low,3.1,3
2496,Michael Lopez,williamsroberto@example.org,williamsroberto,19-Aug-67,Male,Smithport,25-Jan-24,24-Jan-25,Annual,Visa,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Medium,4.9,2
45,Shannon Clark,traci17@example.net,traci17,20-Aug-43,Male,East Aaronburgh,14-Mar-24,14-Mar-25,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5,6
47,Jeffery Maxwell,debra51@example.org,debra51,13-Apr-53,Female,Davisfort,21-Feb-24,20-Feb-25,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7
69,Tracy Koch,timothy25@example.net,timothy25,3-Aug-47,Female,Kristenton,9-Apr-24,9-Apr-25,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9
114,Bruce Pennington,angela32@example.com,angela32,1-Dec-67,Male,South Sharonhaven,6-Feb-24,5-Feb-25,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9
121,Lisa Washington,dbailey@example.net,dbailey,3-Nov-91,Male,East Charlotte,2-Mar-24,2-Mar-25,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2
167,Kimberly Murray,jbeasley@example.com,jbeasley,15-Jan-41,Male,New Shannonmouth,26-Feb-24,25-Feb-25,Monthly,Mastercard,Manual,Frequent,Books,Comedy,Smartphone,Low,3.3,2
183,Jason Murphy,jessicaglass@example.net,jessicaglass,11-Aug-41,Female,North Ernest,2-Jan-24,1-Jan-25,Monthly,Mastercard,Auto-renew,Frequent,Books,Action,Smartphone,High,3.1,8
235,Lauren Newman,qayala@example.com,qayala,17-Sep-02,Male,Meadowsland,23-Jan-24,22-Jan-25,Annual,Visa,Auto-renew,Frequent,Books,Documentary,Smartphone,High,4.5,4
246,Amanda Ali,scott11@example.org,scott11,9-Mar-48,Male,Leonardmouth,4-Apr-24,4-Apr-25,Monthly,Amex,Manual,Frequent,Books,Comedy,Smartphone,High,4,10
247,John Owen,tonya54@example.org,tonya54,17-Mar-99,Male,Dannyview,23-Mar-24,23-Mar-25,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,Low,3.5,7
293,Mary Moore,lromero@example.com,lromero,26-Aug-96,Female,Theresahaven,28-Jan-24,27-Jan-25,Monthly,Visa,Manual,Frequent,Books,Comedy,Smartphone,High,3.8,4
314,Joseph Davis,rgreer@example.org,rgreer,26-Nov-97,Male,South Brandon,13-Apr-24,13-Apr-25,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smartphone,High,3.6,1
